sample,eRNA,eRNA_chrom,eRNA_midpoint,loop_anchor1,loop_anchor2,hit_anchor,other_anchor,other_chrom,other_start,other_end,contact_count,q_value
DMSO,eRNA_chr10_5531356,chr10,5531356,"chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000","chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000",chr10,5660000,5665000,12,0.00373840195229117
DMSO,eRNA_chr10_5531356,chr10,5531356,"chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000","chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000",chr10,5660000,5665000,12,0.00373840195229117
DMSO,eRNA_chr10_5528926,chr10,5528926,"chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000","chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000",chr10,5660000,5665000,12,0.00373840195229117
DMSO,eRNA_chr10_5531356,chr10,5531356,"chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000","chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000",chr10,5660000,5665000,12,0.00373840195229117
DMSO,eRNA_chr10_5531356,chr10,5531356,"chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000","chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000",chr10,5660000,5665000,12,0.00373840195229117
DMSO,eRNA_chr10_5528926,chr10,5528926,"chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000","chr10:5,530,000-5,535,000","chr10:5,660,000-5,665,000",chr10,5660000,5665000,12,0.00373840195229117
LY,eRNA_chr10_5528926,chr10,5528926,"chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000","chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,18,0.0126301002062601
LY,eRNA_chr10_5531356,chr10,5531356,"chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000","chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,28,0.0235189594430135
LY,eRNA_chr8_22624675,chr8,22624675,"chr8:22,550,000-22,555,000","chr8:22,625,000-22,630,000","chr8:22,625,000-22,630,000","chr8:22,550,000-22,555,000",chr8,22550000,22555000,14,0.00551493769076651
LY,eRNA_chr10_5531356,chr10,5531356,"chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000","chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,18,0.0126301002062601
LY,eRNA_chr10_5531356,chr10,5531356,"chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000","chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,28,0.0235189594430135
LY,eRNA_chr10_5528926,chr10,5528926,"chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000","chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,18,0.0126301002062601
LY,eRNA_chr10_5528926,chr10,5528926,"chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000","chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,28,0.0235189594430135
LY,eRNA_chr8_22624675,chr8,22624675,"chr8:22,550,000-22,555,000","chr8:22,625,000-22,630,000","chr8:22,625,000-22,630,000","chr8:22,550,000-22,555,000",chr8,22550000,22555000,14,0.00551493769076651
LY,eRNA_chr10_5528926,chr10,5528926,"chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000","chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,18,0.0126301002062601
LY,eRNA_chr10_5531356,chr10,5531356,"chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000","chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,28,0.0235189594430135
LY,eRNA_chr8_22624675,chr8,22624675,"chr8:22,550,000-22,555,000","chr8:22,625,000-22,630,000","chr8:22,625,000-22,630,000","chr8:22,550,000-22,555,000",chr8,22550000,22555000,14,0.00551493769076651
LY,eRNA_chr10_5531356,chr10,5531356,"chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000","chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,18,0.0126301002062601
LY,eRNA_chr10_5531356,chr10,5531356,"chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000","chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,28,0.0235189594430135
LY,eRNA_chr10_5528926,chr10,5528926,"chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000","chr10:5,525,000-5,530,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,18,0.0126301002062601
LY,eRNA_chr10_5528926,chr10,5528926,"chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000","chr10:5,530,000-5,535,000","chr10:5,585,000-5,590,000",chr10,5585000,5590000,28,0.0235189594430135
LY,eRNA_chr8_22624675,chr8,22624675,"chr8:22,550,000-22,555,000","chr8:22,625,000-22,630,000","chr8:22,625,000-22,630,000","chr8:22,550,000-22,555,000",chr8,22550000,22555000,14,0.00551493769076651
