eRNA,AR_signal,ER_signal,Input_signal,AR_enrichment,ER_enrichment,co_bound
eRNA_chr12_13218104,0.8837,0.8889,1.0361,0.853,0.858,False
eRNA_chr8_22767162,1.1736,1.3342,1.0637,1.103,1.254,False
eRNA_chr10_5486963,2.1872,27.8442,2.6395,0.829,10.549,False
eRNA_chr10_5489393,2.7808,28.0186,3.4847,0.798,8.04,False
eRNA_chr9_68783803,1.1079,0.9388,1.3922,0.796,0.674,False
eRNA_chr9_68784023,1.1213,0.9554,1.2795,0.876,0.747,False
eRNA_chr9_111927516,1.2323,1.2774,1.51,0.816,0.846,False
eRNA_chr1_155186519,1.6836,2.6341,1.6756,1.005,1.572,False
eRNA_chr3_11195014,1.3942,1.251,1.5688,0.889,0.797,False
eRNA_chr3_138351692,1.1291,0.7903,1.246,0.906,0.634,False
