eRNA_chr_hg19,eRNA_summit_hg19,eRNA_name,nearest_gene,gene_ensembl_id,distance_bp,eRNA_coefficient,eRNA_direction
chr1,155158995,eRNA_chr1_155158995,MUC1,ENSG00000185499,0,-0.123,Protective
chr10,5528926,eRNA_chr10_5528926,CALML5,ENSG00000178372,11235,0.064,Risk
chr10,5531356,eRNA_chr10_5531356,CALML5,ENSG00000178372,8805,0.217,Risk
chr12,13371038,eRNA_chr12_13371038,EMP1,ENSG00000134531,0,0.359,Risk
chr3,11236700,eRNA_chr3_11236700,HRH1,ENSG00000196639,0,0.219,Risk
chr3,138070534,eRNA_chr3_138070534,MRAS,ENSG00000158186,0,-0.853,Protective
chr8,22624675,eRNA_chr8_22624675,PEBP4,ENSG00000134020,0,-0.242,Protective
chr9,71398719,eRNA_chr9_71398719,PIP5K1B,ENSG00000107242,0,-0.206,Protective
chr9,71398939,eRNA_chr9_71398939,PIP5K1B,ENSG00000107242,0,-0.038,Protective
chr9,114689796,eRNA_chr9_114689796,UGCG,ENSG00000148154,0,-0.21,Protective
