eRNA_ID,eRNA_column,nearest_gene,spearman_rho,p_value,LASSO_coefficient,eRNA_direction,n_samples,p_adjusted_BH,significant
chr1:155158995,eRNA_chr1_155158995,MUC1,0.7994794066377439,5.870821286430608e-244,-0.123,Protective,1094,5.870821286430607e-243,True
chr10:5528926,eRNA_chr10_5528926,CALML5,0.2193546148854917,2.1919101465480817e-13,0.064,Risk,1094,3.1313002093544027e-13,True
chr10:5531356,eRNA_chr10_5531356,CALML5,0.11297532525035615,0.0001807846464054735,0.217,Risk,1094,0.0001807846464054735,True
chr12:13371038,eRNA_chr12_13371038,EMP1,0.7649104452836836,7.99497971490683e-211,0.359,Risk,1094,3.997489857453415e-210,True
chr3:11236700,eRNA_chr3_11236700,HRH1,0.546937210556861,2.2826366863017796e-86,0.219,Risk,1094,4.565273372603559e-86,True
chr3:138070534,eRNA_chr3_138070534,MRAS,0.5610264451326424,1.0144520280626021e-91,-0.853,Protective,1094,2.536130070156505e-91,True
chr8:22624675,eRNA_chr8_22624675,PEBP4,0.4322823025939446,4.933886732479601e-51,-0.242,Protective,1094,8.223144554132669e-51,True
chr9:71398719,eRNA_chr9_71398719,PIP5K1B,0.1845999318197126,7.664253202178813e-10,-0.206,Protective,1094,9.580316502723514e-10,True
chr9:71398939,eRNA_chr9_71398939,PIP5K1B,0.14299997421214664,2.0458826666995024e-06,-0.038,Protective,1094,2.2732029629994473e-06,True
chr9:114689796,eRNA_chr9_114689796,UGCG,0.7259585390357303,9.721282986433421e-180,-0.21,Protective,1094,3.240427662144474e-179,True
