eRNA,ARE_hits,ARE_best_score,ERE_hits,ERE_best_score,FOXA1_hits,FOXA1_best_score,FOXA1_present,GATA3_hits,GATA3_best_score,GATA3_present,motif_cooccurrence,AR_enrichment,ER_enrichment,ChIP_seq_co_bound,MCF7_H3K27ac,SKBR3_H3K27ac,MB453_H3K27ac,MB231_H3K27ac,Hs578T_H3K27ac,subtype_classification
eRNA_chr1_155158995,0,0,1,7.991,2,7.967,1,4,7.525,1,ERE only,1.005,1.572,False,0.3429,1.3509,0.0869,0.0366,0.0099,HER2-enriched
eRNA_chr10_5528926,1,8.638,1,9.136,2,7.786,1,2,6.08,1,✓ BOTH,0.829,10.549,False,1.1849,0.3788,0.7229,0.064,0.0228,Luminal-enriched
eRNA_chr10_5531356,2,9.824,2,9.414,3,7.786,1,0,0,0,✓ BOTH,0.798,8.04,False,2.406,0.502,1.0263,0.0787,0.0285,Luminal-enriched
eRNA_chr12_13371038,0,0,1,8.617,7,10.617,1,7,8.108,1,ERE only,0.853,0.858,False,0.0729,0.0725,0.0322,0.111,0.0888,Pan-subtype
eRNA_chr3_11236700,0,0,0,0,6,10.617,1,2,6.648,1,Neither,0.889,0.797,False,0.029,0.0844,0.0147,0.1055,0.2916,TNBC-enriched
eRNA_chr3_138070534,0,0,1,7.833,1,6.582,1,3,7.658,1,ERE only,0.906,0.634,False,0.037,0.0217,0.0134,0.0583,0.0181,TNBC-enriched
eRNA_chr8_22624675,1,7.851,0,0,2,9.834,1,4,7.384,1,ARE only,1.103,1.254,False,0.3049,0.0158,0.0046,0.0361,0.0329,Luminal-enriched
eRNA_chr9_71398719,1,8.204,0,0,2,8.908,1,6,8.108,1,ARE only,0.796,0.674,False,0.0274,0.0343,0.0796,0.0802,0.0376,TNBC-enriched
eRNA_chr9_71398939,1,8.204,0,0,2,8.908,1,6,8.108,1,ARE only,0.876,0.747,False,0.0249,0.0331,0.0505,0.0783,0.0381,TNBC-enriched
eRNA_chr9_114689796,2,11.73,2,8.215,4,9.495,1,1,6.64,1,✓ BOTH,0.816,0.846,False,0.188,0.0455,0.0213,0.0742,0.3244,TNBC-enriched
